,vehicle_speed,throttle_percentage,acc_calculated
454,4.46782,0.15,0.852277778
455,4.61357,0.15,0.766027778
456,4.74359,0.15,0.688
457,4.86125,0.15,0.615361111
458,4.96512,0.15,0.549583333
459,5.0591,0.15,0.497277778
460,5.14414,0.15,0.444833333
461,5.21924,0.15,0.397361111
462,5.28719,0.15,0.359555556
463,5.34868,0.15,0.325361111
464,5.40432,0.15,0.296472222
465,5.45541,0.15,0.270333333
466,5.50164,0.15,0.249777778
467,5.54533,0.15,0.231194444
468,5.58487,0.15,0.209194444
469,5.62064,0.15,0.195472222
470,5.65524,0.15,0.183083333
471,5.68655,0.15,0.170833333
472,5.71674,0.15,0.15975
473,5.74406,0.15,0.144527778
474,5.76877,0.15,0.136972222
475,5.79337,0.15,0.130166667
476,5.81563,0.15,0.122916667
477,5.83762,0.15,0.116388889
478,5.85753,0.15,0.1105
479,5.8774,0.15,0.105138889
480,5.89538,0.15,0.100305556
481,5.91351,0.15,0.095916667
482,5.92991,0.15,0.091944444
483,5.94661,0.15,0.088361111
484,5.96172,0.15,0.079944444
485,5.97539,0.15,0.0775
486,5.98962,0.15,0.075305556
487,6.0025,0.15,0.073305556
488,6.01601,0.15,0.0715
489,6.02824,0.15,0.068833333
490,6.04079,0.15,0.066388889
491,6.05214,0.15,0.065222222
492,6.06427,0.15,0.064194444
493,6.07525,0.15,0.063277778
494,6.08705,0.15,0.062416667
495,6.09772,0.15,0.056444444
496,6.10737,0.15,0.05625
497,6.11797,0.15,0.056055556
498,6.12755,0.15,0.054833333
499,6.13771,0.15,0.053777778
500,6.14691,0.15,0.053833333
501,6.15709,0.15,0.053861111
502,6.1663,0.15,0.052861111
503,6.17612,0.15,0.051944444
504,6.185,0.15,0.052166667
505,6.1949,0.15,0.052388889
506,6.20386,0.15,0.051527778
507,6.21345,0.15,0.05075
508,6.22213,0.15,0.051083333
509,6.23184,0.15,0.051388889
510,6.24063,0.15,0.0465
511,6.24858,0.15,0.046194444
512,6.25726,0.15,0.045944444
513,6.26512,0.15,0.045694444
514,6.27371,0.15,0.045472222
515,6.28149,0.15,0.046305556
516,6.29038,0.15,0.047055556
517,6.29843,0.15,0.046722222
518,6.3072,0.15,0.046416667
519,6.31514,0.15,0.046138889
520,6.32381,0.15,0.045861111
521,6.33165,0.15,0.046638889
522,6.3406,0.15,0.047361111
523,6.3487,0.15,0.042888889
524,6.35604,0.15,0.042944444
525,6.36416,0.15,0.042972222
526,6.37151,0.15,0.043
527,6.37964,0.15,0.043027778
528,6.387,0.15,0.043083333
529,6.39515,0.15,0.043111111
530,6.40252,0.15,0.043138889
531,6.41068,0.15,0.043166667
532,6.41806,0.15,0.043194444
533,6.42623,0.15,0.043222222
534,6.43362,0.15,0.043222222
535,6.44179,0.15,0.04325
536,6.44919,0.15,0.039138889
537,6.45588,0.15,0.039527778
538,6.46342,0.15,0.039888889
539,6.47024,0.15,0.040222222
540,6.4779,0.15,0.040555556
